"date","nusuarios","ntrials","nusuariosnuevos","ntrialsnuevos","ntrialsservidor"
1505009426.831693,7645,2168613,1,359,1787829
1505075298.773379,7673,2178728,28,10115,1797951
1505090933.677344,7684,2182013,11,3285,1801241
1505094768.813739,7687,2182570,3,557,1801799
1505098380.273021,7690,2183700,3,1130,1802929
1505101944.45923,7694,2184196,4,496,1803425
1505105524.314663,7698,2184663,4,467,1803893
1505109130.642712,7699,2185184,1,521,1804414
1505112728.607932,7699,2185309,0,125,1804539
1505116326.468296,7699,2185452,0,143,1804682
1505119930.527213,7699,2185645,0,193,1804875
1505127176.525787,7699,2185841,0,196,1805071
1505130757.533386,7699,2187091,0,1250,1806321
1505223053.494079,7728,2199718,29,12627,1818970
1505225344.713942,7729,2200094,1,376,1819347
1505251835.693997,7738,2204082,9,3988,1823336
1505258594.067153,7742,2205227,4,1145,1824488
1505262107.733046,7748,2206839,6,1612,1826100
1505265713.052158,7749,2207790,1,951,1827053
1505269370.253126,7753,2209311,4,1521,1828568
1505272931.858609,7755,2210643,2,1332,1829893
1505276552.723785,7755,2211155,0,512,1830424
1505280025.600746,7755,2211245,0,90,1830514
1505283633.735892,7756,2211344,1,99,1830613
1505287231.877567,7756,2211445,0,101,1830714
1505290829.066437,7756,2211727,0,282,1830996
1505294429.15093,7756,2211776,0,49,1831045
1505298052.40524,7756,2211864,0,88,1831133
1505301690.685102,7758,2212449,2,585,1831678
1505326941.264102,7763,2216543,5,4094,1835810
1505330488.939468,7766,2217388,3,845,1836663
1505334130.805421,7768,2218902,2,1514,1838178
1505337706.200108,7769,2219775,1,873,1839052
1505341308.048287,7772,2220630,3,855,1839888
1505344946.522763,7772,2221692,0,1062,1840970
1505348431.704404,7773,2222625,1,933,1841903
1505352065.081095,7776,2223561,3,936,1842823
1505355650.044842,7779,2223967,3,406,1843249
1505359237.679473,7783,2224450,4,483,1843732
1505362842.678196,7786,2224835,3,385,1844118
1505366442.056498,7787,2225250,1,415,1844533
1505370041.786062,7789,2225688,2,438,1844968
1505373649.505408,7789,2226213,0,525,1845497
1505377238.745665,7789,2226234,0,21,1845518
1505380860.954493,7789,2226285,0,51,1845569
1505388078.12928,7789,2226588,0,303,1845872
1505391677.514071,7790,2227142,1,554,1846424
1505395260.652456,7791,2227520,1,378,1846805
1505424272.132398,7800,2232845,9,5325,1852127
1505431265.463962,7805,2234583,5,1738,1853879
1505434890.327796,7806,2235430,1,847,1854719
1505442109.664916,7807,2236694,1,1264,1855996
1505445705.276933,7809,2237696,2,1002,1856964
1505452893.598335,7812,2238511,3,815,1857815
1505456490.378745,7815,2239189,3,678,1858493
1505460106.968348,7815,2239334,0,145,1858638
1505478149.247814,7815,2240744,0,1410,1860030
1505481630.457352,7819,2241585,4,841,1860879
1505485273.720365,7822,2242301,3,716,1861607
1505499718.589402,7833,2246551,11,4250,1865863
1505503310.65704,7841,2248937,8,2386,1868241
1505517785.755315,7846,2251714,5,2777,1871021
1505542887.230219,7855,2255238,9,3524,1874555
1505546437.788847,7856,2255367,1,129,1874684
1505550040.242062,7856,2255387,0,20,1874704
1505553655.479284,7858,2255592,2,205,1874909
1505560908.923221,7860,2256653,2,1061,1875972
1505564456.039041,7861,2257035,1,382,1876355
1505568050.847093,7862,2257154,1,119,1876474
1505571706.304694,7864,2257845,2,691,1877165
1505578909.888454,7869,2259410,5,1565,1878733
1505582487.271475,7870,2260206,1,796,1879530
1505586077.244453,7871,2260465,1,259,1879790
1505589746.848695,7875,2261279,4,814,1880595
1505593244.263163,7877,2262059,2,780,1881383
1505596838.338608,7878,2263113,1,1054,1882439
1505600430.840403,7878,2263699,0,586,1883017
1505604033.537075,7881,2264173,3,474,1883499
1505607649.473391,7883,2264791,2,618,1884118
1505611256.440233,7886,2265303,3,512,1884630
1505614936.262138,7886,2265890,0,587,1885217
1505618494.73516,7889,2266528,3,638,1885855
1505622070.264956,7890,2267007,1,479,1886335
1505625681.063654,7891,2267457,1,450,1886774
1505629269.918485,7895,2267931,4,474,1887259
1505632857.376791,7895,2267964,0,33,1887292
1505636459.555102,7895,2267984,0,20,1887312
1505640062.398686,7896,2268016,1,32,1887344
1505723217.071323,7934,2282540,30,11872,1901874
1505726440.412096,7934,2282608,0,68,1901951
1505730066.180342,7934,2282844,0,236,1902187
1505733671.111603,7934,2283326,0,482,1902670
1505737275.295461,7935,2283631,1,305,1902976
1505740854.31249,7936,2283826,1,195,1903171
1505755319.052549,7939,2286595,3,2769,1905941
1505758891.057314,7941,2286998,2,403,1906345
1505762491.027301,7944,2288131,3,1133,1907475
1505766117.549573,7949,2288847,5,716,1908174
1505769709.921701,7955,2290337,6,1490,1909676
1505773390.878646,7958,2291310,3,973,1910640
1505780467.274348,7961,2292523,3,1213,1911875
1505784068.163387,7965,2293352,4,829,1912706
1505787651.253764,7968,2294261,3,909,1913616
1505791259.45073,7969,2295142,1,881,1914498
1505794865.100225,7974,2295869,5,727,1915226
1505798447.875754,7974,2296154,0,285,1915511
1505802046.908224,7974,2296247,0,93,1915604
1505805648.966799,7974,2296282,0,35,1915639
1505809245.849724,7974,2296302,0,20,1915660
1505812855.180694,7975,2296462,1,160,1915820
1505820117.759014,7976,2297231,1,769,1916591
1505823662.94086,7976,2297442,0,211,1916802
1505827306.739025,7979,2297832,3,390,1917193
1505830917.958135,7979,2297880,0,48,1917241
1505841763.420584,7987,2300221,8,2341,1919574
1505845389.054651,7989,2301447,2,1226,1920789
1505848854.583421,7992,2302315,3,868,1921680
1505852483.796333,7992,2302819,0,504,1922153
1505856071.099754,7994,2304106,2,1287,1923473
1505859687.787102,7998,2305990,4,1884,1925342
1505863315.680682,7998,2306607,0,617,1925936
1505866925.242204,7998,2307069,0,462,1926438
1505870515.191029,7999,2307366,1,297,1926737
1505874093.506105,8001,2308004,2,638,1927375
1505877683.047449,8003,2308752,2,748,1928121
1505881287.247432,8004,2309659,1,907,1929020
1505884888.365544,8005,2310131,1,472,1929508
1505888479.140555,8005,2310191,0,60,1929558
1505892081.017704,8005,2310283,0,92,1929660
1505895688.807815,8006,2310396,1,113,1929773
1505899358.721187,8007,2310746,1,350,1930124
1505910034.181857,8009,2312411,2,1665,1931790
1505913670.263228,8009,2312777,0,366,1932156
1505928120.936598,8016,2315041,7,2264,1934423
1505931702.413209,8018,2315533,2,492,1934915
1505938881.810101,8020,2316698,2,1165,1936081
1505942480.346237,8022,2318094,2,1396,1937478
1505946117.723438,8024,2318698,2,604,1938085
1505949683.216484,8026,2319176,2,478,1938563
1505953301.681246,8027,2320224,1,1048,1939614
1505956960.057938,8028,2320973,1,749,1940366
1505960435.870532,8029,2321495,1,522,1940888
1505964047.428749,8030,2322134,1,639,1941528
1505967630.392616,8033,2322910,3,776,1942304
1505971230.330071,8033,2323302,0,392,1942696
1505974829.913125,8035,2323536,2,234,1942930
1505978430.141815,8035,2323537,0,1,1942932
1505982033.790698,8043,2323847,8,310,1943243
1505985639.238506,8055,2324212,12,365,1943608
1506014639.879582,8091,2331168,36,6956,1950571
1506025331.805534,8112,2335211,21,4043,1954603
1506028885.351044,8118,2336256,6,1045,1955649
1506032467.193158,8119,2337289,1,1033,1956694
1506036071.400037,8119,2338170,0,881,1957576
1506039668.065468,8120,2338489,1,319,1957884
1506043311.112879,8121,2338676,1,187,1958076
1506046894.057366,8126,2339511,5,835,1958919
1506050486.310306,8128,2340222,2,711,1959631
1506054083.197426,8128,2340398,0,176,1959807
1506057726.987201,8129,2340652,1,254,1960061
1506061218.237011,8129,2340784,0,132,1960193
1506064813.722867,8129,2340843,0,59,1960252
1506068417.239212,8129,2340985,0,142,1960394
1506072017.967813,8129,2341028,0,43,1960437
1506082852.528334,8129,2341933,0,905,1961344
1506086450.805041,8131,2342638,2,705,1962050
1506119049.801441,8165,2350921,34,8283,1970350
1506122442.316149,8167,2352383,2,1462,1971812
1506126034.915813,8168,2353255,1,872,1972689
1506129709.101952,8172,2354409,4,1154,1973843
1506133267.433973,8174,2354822,2,413,1974257
1506136846.464551,8177,2355173,3,351,1974609
1506140454.773765,8178,2355851,1,678,1975287
1506144048.220043,8178,2355851,0,0,1975287
1506147655.706843,8179,2356094,1,243,1975531
1506151258.106245,8179,2356266,0,172,1975703
1506154978.622436,8179,2356275,0,9,1975712
1506158458.286938,8181,2356620,2,345,1976057
1506162359.668287,8181,2356682,0,62,1976099
1506165694.562496,8181,2356984,0,302,1976421
1506169268.037377,8182,2357117,1,133,1976555
1506172864.312607,8183,2357588,1,471,1977029
1506176506.444931,8184,2358581,1,993,1978018
1506183697.099233,8186,2359959,2,1378,1979382
1506187464.017744,8187,2360863,1,904,1980305
1506190889.817093,8190,2361905,3,1042,1981328
1506194702.303059,8191,2362759,1,854,1982202
1506198034.344746,8193,2363296,2,537,1982741
1506201650.588312,8194,2364413,1,1117,1983859
1506205253.685505,8196,2364976,2,563,1984412
1506208862.340583,8196,2365932,0,956,1985379
1506212461.665176,8197,2366517,1,585,1985965
1506216122.169485,8200,2367673,3,1156,1987122
1506219676.670535,8202,2367837,2,164,1987286
1506223293.660563,8204,2368623,2,786,1988072
1506226879.395377,8206,2368858,2,235,1988308
1506230476.20821,8207,2369008,1,150,1988459
1506234078.477962,8208,2369201,1,193,1988652
1506237685.052571,8209,2369511,1,310,1988962
1506241284.67108,8209,2369680,0,169,1989131
1506244890.842215,8209,2369908,0,228,1989359
1506248541.454477,8209,2369958,0,50,1989409
1506252141.307347,8210,2370192,1,234,1989643
1506255690.154219,8210,2370232,0,40,1989683
1506259293.762393,8210,2370340,0,108,1989791
1506262971.952286,8210,2370596,0,256,1990047
1506270046.396739,8214,2371679,4,1083,1991130
1506273641.699305,8214,2372570,0,891,1992022
1506277243.75314,8215,2373055,1,485,1992506
1506280847.344102,8217,2373600,2,545,1993052
1506284457.144462,8217,2374606,0,1006,1994050
1506288067.683018,8224,2375644,7,1038,1995100
1506291662.831534,8225,2376106,1,462,1995562
1506295261.623059,8226,2376538,1,432,1995994
1506302504.174802,8228,2378106,2,1568,1997566
1506306093.952586,8230,2378722,2,616,1998185
1506309679.68774,8232,2378941,2,219,1998405
1506313295.782852,8237,2380026,5,1085,1999471
1506316890.146282,8237,2380190,0,164,1999655
1506320484.75186,8237,2380218,0,28,1999683
1506324195.261071,8238,2383727,1,3509,2003192
1506327652.120108,8238,2384050,0,323,2003507
1506331249.109831,8239,2384089,1,39,2003555
1506334847.002526,8240,2384271,1,182,2003737
1506338484.223708,8241,2384843,1,572,2004310
1506342072.066422,8241,2385025,0,182,2004492
1506381893.640207,8250,2390659,9,5634,2010132
1506385243.081362,8251,2391560,1,901,2011037
1506388877.446307,8252,2392523,1,963,2011981
1506392448.303121,8255,2393150,3,627,2012628
1506396054.571373,8256,2393993,1,843,2013457
1506399665.551445,8258,2395449,2,1456,2014929
1506403261.414769,8260,2396170,2,721,2015651
1506406865.050268,8261,2396354,1,184,2015835
1506410466.555174,8262,2396655,1,301,2016136
1506414065.469958,8262,2396711,0,56,2016192
1506417714.314928,8262,2396856,0,145,2016318
1506421277.651667,8262,2397163,0,307,2016645
1506424881.282695,8263,2397412,1,249,2016896
1506570196.511237,8457,2446129,174,48717,2065641
1506572539.572227,8459,2447311,2,1182,2066832
1506811295.861324,8541,2487282,82,39971,2106836
1506839111.838042,8556,2494234,15,6952,2113820
1506842510.259522,8556,2494234,0,0,2113820
1506846104.405439,8558,2494576,2,342,2114162
1506853347.742318,8561,2495262,3,686,2114848
1506860567.305643,8563,2496176,2,914,2115742
1506921961.276907,8586,2507082,23,10906,2126689
1506925330.411987,8587,2507593,1,511,2127200
1506928951.234433,8587,2507613,0,20,2127220
1506932562.763498,8587,2507732,0,119,2127339
1507091729.866753,8628,2535691,41,27959,2155338
1507098146.005642,8630,2536147,2,456,2155794
1507101736.025492,8630,2536173,0,26,2155820
1507105330.602809,8631,2536193,1,20,2155840
1507108959.7853,8631,2536259,0,66,2155906
1507148932.612533,8648,2542012,17,5753,2161593
1507152280.298605,8650,2543061,2,1049,2162695
1507155703.311258,8651,2543374,1,313,2163029
1507159505.636099,8653,2544243,2,869,2163899
1507163082.671883,8653,2544453,0,210,2164109
1507166715.213211,8654,2545437,1,984,2165076
1507170165.774027,8656,2545919,2,482,2165558
1507173737.859997,8658,2546263,2,344,2165922
1507177504.45353,8660,2546755,2,492,2166414
1507180947.59054,8662,2547544,2,789,2167204
1507184568.239661,8663,2547983,1,439,2167643
1507188146.464806,8663,2548381,0,398,2168042
1507191736.22959,8664,2548447,1,66,2168108
1507195513.436444,8665,2548745,1,298,2168406
1507202718.516832,8665,2549040,0,295,2168701
1507206159.638445,8665,2549089,0,49,2168750
1507209771.360646,8665,2549176,0,87,2168837
1507213537.30635,8665,2549936,0,760,2169597
1507217205.688069,8665,2550526,0,590,2170147
1507231493.008408,8672,2552668,7,2142,2172311
1507242310.984266,8676,2556392,4,3724,2176055
1507245906.627108,8676,2556900,0,508,2176548
1507249522.141126,8678,2557580,2,680,2177204
1507253084.958161,8679,2558566,1,986,2178231
1507256519.606062,8679,2558783,0,217,2178449
1507260270.671266,8681,2559208,2,425,2178869
1507263725.017232,8682,2559289,1,81,2178956
1507267315.809169,8682,2559616,0,327,2179283
1507270910.619398,8682,2560050,0,434,2179717
1507274507.31693,8683,2560282,1,232,2179949
1507278106.576748,8683,2560315,0,33,2179982
1507281911.059973,8683,2560425,0,110,2180092
1507289026.654372,8684,2560645,1,220,2180276
1507292459.638723,8684,2560797,0,152,2180466
1507296055.95277,8684,2561229,0,432,2180900
1507307094.856466,8692,2563077,8,1848,2182630
1507317893.710448,8696,2564797,4,1720,2184473
1507321503.926223,8696,2565670,0,873,2185330
1507325115.178606,8698,2566341,2,671,2185996
1507328560.13121,8699,2566787,1,446,2186465
1507332307.650734,8699,2567425,0,638,2187051
1507335895.269505,8699,2567695,0,270,2187370
1507339510.558089,8700,2568033,1,338,2187670
1507342958.771081,8701,2568571,1,538,2188255
1507346573.932887,8703,2569085,2,514,2188770
1507350156.635744,8704,2569585,1,500,2189262
1507353748.820051,8704,2570043,0,458,2189712
1507357343.61923,8705,2570256,1,213,2189945
1507360947.611037,8706,2570306,1,50,2189995
1507364600.559024,8706,2570317,0,11,2190006
1507368094.811734,8707,2570358,1,41,2190047
1507371856.848598,8708,2571029,1,671,2190661
1507375443.442339,8708,2571126,0,97,2190815
1507379049.131817,8709,2571365,1,239,2191055
1507382637.903268,8711,2572003,2,638,2191667
1507386259.489229,8712,2572493,1,490,2192164
1507396937.262862,8719,2574539,7,2046,2194222
1507400535.354681,8720,2575414,1,875,2195108
1507404155.65529,8723,2576257,3,843,2195910
1507407907.29013,8724,2576948,1,691,2196622
1507411518.87991,8727,2577271,3,323,2196928
1507415118.796239,8728,2578539,1,1268,2198228
1507418716.33182,8731,2579031,3,492,2198701
1507422310.639416,8731,2579782,0,751,2199481
1507425951.853684,8733,2580255,2,473,2199929
1507429388.973151,8733,2580427,0,172,2200128
1507432990.746958,8733,2580621,0,194,2200270
1507436452.67737,8734,2580931,1,310,2200632
1507440051.914328,8736,2581496,2,565,2201197
1507443657.197182,8737,2582036,1,540,2201738
1507447248.22572,8738,2582125,1,89,2201827
1507450854.256709,8738,2582194,0,69,2201896
1507454445.783024,8738,2582197,0,3,2201900
1507458217.684756,8739,2582279,1,82,2201982
1507461808.123429,8739,2582313,0,34,2202016
1507465246.613306,8739,2582348,0,35,2202034
1507469011.806285,8740,2582799,1,451,2202483
1507472616.143993,8743,2583107,3,308,2202679
1507476233.757515,8744,2583485,1,378,2203191
1507479837.806753,8747,2584260,3,775,2203946
1507483424.222866,8750,2584659,3,399,2204348
1507487025.222611,8751,2584940,1,281,2204630
1507490507.463423,8753,2586108,2,1168,2205807
1507497842.990376,8758,2587162,5,1054,2206803
1507501309.414388,8759,2587838,1,676,2207541
1507508737.660916,8768,2590422,9,2584,2210130
1507512204.712678,8768,2590758,0,336,2210474
1507515658.375703,8773,2591367,5,609,2211084
1507519272.312047,8774,2592024,1,657,2211687
1507522858.59269,8775,2592554,1,530,2212271
1507526455.243823,8775,2592675,0,121,2212392
1507530059.752476,8775,2592833,0,158,2212551
1507533654.259162,8777,2593006,2,173,2212724
1507537410.762339,8777,2593015,0,9,2212730
1507540867.514199,8777,2593133,0,118,2212852
1507548225.44566,8778,2593300,1,167,2212959
1507551698.518768,8778,2594196,0,896,2213915
1507555287.216051,8779,2594719,1,523,2214438
1507559085.42408,8779,2594768,0,49,2214467
1507562637.889325,8781,2595084,2,316,2214803
1507566241.821621,8782,2595527,1,443,2215227
1507573456.143469,8786,2596808,4,1281,2216529
1507580652.281565,8789,2597704,3,896,2217429
1507587854.040117,8794,2598661,5,957,2218386
1507591319.28949,8795,2599341,1,680,2219047
1507594933.522689,8796,2600218,1,877,2219945
1507602331.131171,8800,2601626,4,1408,2221313
1507605672.954531,8802,2602263,2,637,2221990
1507609410.055418,8803,2602947,1,684,2222665
1507612867.550618,8803,2603239,0,292,2222967
1507616487.509166,8805,2603807,2,568,2223535
1507620067.669436,8807,2603935,2,128,2223663
1507623672.997792,8807,2603935,0,0,2223663
1507627415.479163,8807,2603941,0,6,2223669
1507645456.522315,8810,2606298,3,2357,2226026
1507652659.779065,8812,2608150,2,1852,2227860
1507655533.243178,8814,2608684,2,534,2228415
1507656102.818057,8814,2608684,0,0,2228415
1507659726.0852,8815,2608923,1,239,2228654
1507663310.459264,8817,2609527,2,604,2229258
1507666910.167461,8817,2609748,0,221,2229479
1507786372.117034,8871,2627282,54,17534,2247009
1507789445.58101,8873,2627437,2,155,2247182
1507792905.851726,8873,2627437,0,0,2247182
1507796499.714388,8873,2627451,0,14,2247196
1507800256.978102,8873,2627451,0,0,2247196
1507803709.571868,8873,2627478,0,27,2247224
1507836364.54675,8888,2631595,15,4117,2251347
1507839821.108628,8888,2632099,0,504,2251854
1507846912.243464,8892,2633829,4,1730,2253567
1507850493.552371,8894,2634578,2,749,2254336
1507854078.440194,8898,2635102,4,524,2254861
1507857758.482273,8901,2635823,3,721,2255562
1507861362.866158,8907,2638279,6,2456,2258016
1507864926.999615,8911,2639549,4,1270,2259304
1507868516.848226,8914,2640088,3,539,2259850
