date,count
1420081200.0,2
1423796400.0,1
1424574000.0,1
1424660400.0,127
1424746800.0,99
1424833200.0,112
1424919600.0,100
1425006000.0,72
1425092400.0,64
1425178800.0,34
1425265200.0,36
1425351600.0,33
1425438000.0,44
1425524400.0,26
1425610800.0,28
1425697200.0,36
1425783600.0,40
1425870000.0,12
1425956400.0,29
1426042800.0,21
1426129200.0,22
1426215600.0,27
1426302000.0,21
1426388400.0,16
1426474800.0,13
1426561200.0,24
1426647600.0,12
1426734000.0,8
1426820400.0,18
1426906800.0,10
1426993200.0,25
1427079600.0,16
1427166000.0,5
1427252400.0,12
1427338800.0,17
1427425200.0,39
1427511600.0,19
1427598000.0,3
1427684400.0,18
1427770800.0,28
1427857200.0,14
1427943600.0,22
1428030000.0,21
1428116400.0,15
1428202800.0,3
1428289200.0,14
1428375600.0,19
1428462000.0,26
1428548400.0,16
1428634800.0,16
1428721200.0,16
1428807600.0,11
1428894000.0,11
1428980400.0,15
1429066800.0,14
1429153200.0,7
1429239600.0,9
1429326000.0,10
1429412400.0,5
1429498800.0,5
1429585200.0,15
1429671600.0,19
1429758000.0,4
1429844400.0,10
1429930800.0,14
1430017200.0,10
1430103600.0,12
1430190000.0,10
1430276400.0,4
1430362800.0,1
1430449200.0,1
1430535600.0,1
1430622000.0,2
1430708400.0,1
1430794800.0,2
1430881200.0,1
1430967600.0,5
1431054000.0,9
1431140400.0,6
1431226800.0,9
1431313200.0,3
1431399600.0,5
1431486000.0,5
1431658800.0,1
1431745200.0,2
1431831600.0,5
1431918000.0,9
1432004400.0,6
1432090800.0,4
1432177200.0,1
1432263600.0,9
1432350000.0,2
1432436400.0,2
1432522800.0,4
1432609200.0,5
1432695600.0,3
1432782000.0,4
1432868400.0,5
1432954800.0,5
1433041200.0,10
1433127600.0,11
1433214000.0,9
1433300400.0,84
1433386800.0,56
1433473200.0,64
1433559600.0,54
1433646000.0,43
1433732400.0,48
1433818800.0,31
1433905200.0,10
1433991600.0,9
1434078000.0,8
1434164400.0,5
1434250800.0,7
1434337200.0,9
1434423600.0,8
1434510000.0,3
1434596400.0,5
1434682800.0,2
1434769200.0,2
1434855600.0,3
1434942000.0,3
1435028400.0,4
1435114800.0,5
1435201200.0,6
1435287600.0,6
1435374000.0,7
1435460400.0,7
1435546800.0,6
1435633200.0,3
1435719600.0,7
1435806000.0,9
1435892400.0,5
1435978800.0,5
1436065200.0,4
1436151600.0,6
1436238000.0,7
1436324400.0,10
1436410800.0,3
1436497200.0,4
1436583600.0,6
1436670000.0,6
1436756400.0,12
1436842800.0,16
1436929200.0,7
1437015600.0,12
1437102000.0,11
1437188400.0,8
1437274800.0,9
1437361200.0,13
1437447600.0,11
1437534000.0,9
1437620400.0,13
1437706800.0,4
1437793200.0,1
1437879600.0,12
1437966000.0,4
1438052400.0,5
1438138800.0,12
1438225200.0,9
1438311600.0,6
1438398000.0,1
1438916400.0,2
1439002800.0,7
1439089200.0,9
1439175600.0,2
1439262000.0,2
1439348400.0,3
1439434800.0,2
1439521200.0,1
1439607600.0,1
1439694000.0,2
1439866800.0,1
1439953200.0,2
1440039600.0,2
1440212400.0,2
1440298800.0,1
1440385200.0,1
1440471600.0,1
1440558000.0,2
1441076400.0,2
1441249200.0,2
1441335600.0,2
1441422000.0,1
1441508400.0,4
1441594800.0,1
1441940400.0,1
1442199600.0,1
1442545200.0,1
1443754800.0,1
1443927600.0,1
1444273200.0,1
1444359600.0,2
1444791600.0,2
1444878000.0,1
1444964400.0,1
1445050800.0,1
1445137200.0,2
1445223600.0,2
1445310000.0,2
1445396400.0,1
1445569200.0,1
1445655600.0,1
1445742000.0,3
1445828400.0,2
1445914800.0,3
1446001200.0,2
1446087600.0,2
1446174000.0,1
1446260400.0,1
1446346800.0,3
1446433200.0,1
1446519600.0,1
1446606000.0,2
1446692400.0,1
1446778800.0,4
1446865200.0,1
1446951600.0,1
1447038000.0,2
1447124400.0,1
1447210800.0,2
1447297200.0,2
1447383600.0,1
1447556400.0,1
1447642800.0,1
1447729200.0,1
1447815600.0,1
1447902000.0,4
1448074800.0,2
1448161200.0,1
1448334000.0,2
1448420400.0,2
1448679600.0,3
1448852400.0,1
1448938800.0,2
1449025200.0,2
1449111600.0,1
1449198000.0,1
1449284400.0,1
1449457200.0,1
1449630000.0,2
1449716400.0,2
1449802800.0,4
1449889200.0,2
1450062000.0,3
1450148400.0,1
1450234800.0,1
1450321200.0,1
1450407600.0,1
1450494000.0,1
1450580400.0,1
1450666800.0,2
1450753200.0,1
1450839600.0,1
1451444400.0,1
1451530800.0,1
1451617200.0,1
1451703600.0,1
1451876400.0,1
1451962800.0,1
1452135600.0,1
1452308400.0,2
1452481200.0,1
1452567600.0,1
1452654000.0,1
1452740400.0,1
1452826800.0,2
1453258800.0,1
1453345200.0,2
1453431600.0,1
1453518000.0,1
1453604400.0,2
1453690800.0,3
1453777200.0,2
1453863600.0,2
1453950000.0,5
1454036400.0,3
1454122800.0,1
1454209200.0,2
1454295600.0,3
1454382000.0,2
1454468400.0,3
1454554800.0,2
1454641200.0,2
1454727600.0,2
1454814000.0,1
1454900400.0,1
1454986800.0,1
1455073200.0,2
1455159600.0,2
1455246000.0,3
1455332400.0,3
1455418800.0,4
1455505200.0,5
1455678000.0,4
1455764400.0,2
1455850800.0,3
1455937200.0,4
1456023600.0,2
1456110000.0,4
1456196400.0,4
1456282800.0,5
1456369200.0,4
1456455600.0,4
1456542000.0,5
1456628400.0,5
1456714800.0,3
1456801200.0,3
1456887600.0,3
1456974000.0,1
1457060400.0,4
1457146800.0,3
1457233200.0,5
1457319600.0,3
1457406000.0,3
1457492400.0,3
1457578800.0,5
1457665200.0,6
1457751600.0,9
1457838000.0,8
1457924400.0,5
1458010800.0,7
1458097200.0,15
1458183600.0,24
1458270000.0,13
1458356400.0,2
1458442800.0,2
1458529200.0,2
1458615600.0,4
1458702000.0,1
1458788400.0,1
1458874800.0,3
1458961200.0,3
1459047600.0,1
1459134000.0,1
1459220400.0,3
1459306800.0,4
1459393200.0,4
1459479600.0,1
1459566000.0,3
1459652400.0,2
1459738800.0,3
1459825200.0,2
1459911600.0,1
1459998000.0,1
1460084400.0,2
1460170800.0,1
1460257200.0,1
1460343600.0,4
1460516400.0,1
1460602800.0,1
1460689200.0,2
1460775600.0,2
1460862000.0,2
1460948400.0,1
1461034800.0,1
1461207600.0,2
1461294000.0,1
1461380400.0,1
1461466800.0,1
1461553200.0,2
1461639600.0,3
1461726000.0,1
1461812400.0,1
1461898800.0,1
1462071600.0,2
1462158000.0,3
1462244400.0,1
1462330800.0,1
1462417200.0,2
1462503600.0,3
1462676400.0,2
1462762800.0,2
1462849200.0,2
1463022000.0,1
1463108400.0,2
1463281200.0,1
1463367600.0,1
1463540400.0,1
1463626800.0,1
1463799600.0,1
1463886000.0,1
1464145200.0,1
1464231600.0,1
1464577200.0,3
1464663600.0,1
1464922800.0,1
1465182000.0,1
1465527600.0,1
1465700400.0,1
1465873200.0,1
1465959600.0,1
1466046000.0,1
1466305200.0,1
1466564400.0,1
1466996400.0,1
1467255600.0,1
1467342000.0,2
1467428400.0,1
1467601200.0,1
1467860400.0,1
1467946800.0,2
1468033200.0,4
1468119600.0,1
1468292400.0,3
1468378800.0,4
1468551600.0,1
1468638000.0,1
1468724400.0,2
1468897200.0,1
1468983600.0,1
1469070000.0,2
1469156400.0,1
1469242800.0,3
1469329200.0,4
1469415600.0,1
1469674800.0,2
1469761200.0,3
1469847600.0,2
1469934000.0,3
1470106800.0,1
1470193200.0,1
1470798000.0,3
1470884400.0,1
1470970800.0,7
1471057200.0,5
1471143600.0,3
1471230000.0,3
1471316400.0,3
1471402800.0,2
1471489200.0,3
1471575600.0,3
1471748400.0,1
1471834800.0,4
1471921200.0,3
1472007600.0,1
1472094000.0,2
1472180400.0,2
1472266800.0,2
1472353200.0,7
1472439600.0,7
1472526000.0,5
1472612400.0,3
1472698800.0,4
1472785200.0,3
1472871600.0,2
1472958000.0,4
1473044400.0,4
1473130800.0,2
1473217200.0,2
1473303600.0,4
1473390000.0,3
1473476400.0,6
1473562800.0,3
1473649200.0,3
1473735600.0,3
1473822000.0,3
1473908400.0,3
1473994800.0,4
1474081200.0,3
1474167600.0,2
1474254000.0,3
1474340400.0,5
1474426800.0,5
1474513200.0,1
1474599600.0,3
1474686000.0,3
1474772400.0,1
1474858800.0,2
1474945200.0,3
1475031600.0,4
1475118000.0,5
1475204400.0,1
1475290800.0,1
1475377200.0,1
1475463600.0,2
1475550000.0,1
1475636400.0,2
1475722800.0,3
1475809200.0,3
1475895600.0,1
1475982000.0,4
1476068400.0,3
1476154800.0,3
1476241200.0,2
1476327600.0,4
1476414000.0,1
1476500400.0,3
1476586800.0,3
1476673200.0,3
1476759600.0,5
1476846000.0,5
1476932400.0,5
1477018800.0,5
1477105200.0,4
1477191600.0,6
1477278000.0,5
1477364400.0,4
1477450800.0,6
1477537200.0,3
1477623600.0,2
1477710000.0,3
1477796400.0,2
1477882800.0,4
1477969200.0,5
1478055600.0,5
1478142000.0,3
1478228400.0,3
1478314800.0,1
1478401200.0,4
1478487600.0,2
1478574000.0,2
1478660400.0,2
1478746800.0,3
1478833200.0,3
1478919600.0,1
1479006000.0,3
1479092400.0,1
1479178800.0,4
1479265200.0,5
1479351600.0,5
1479438000.0,5
1479524400.0,3
1479610800.0,4
1479697200.0,2
1479783600.0,3
1479870000.0,2
1479956400.0,2
1480042800.0,5
1480129200.0,3
1480215600.0,2
1480302000.0,2
1480388400.0,2
1480474800.0,2
1480561200.0,3
1480647600.0,5
1480734000.0,4
1480820400.0,4
1480906800.0,5
1480993200.0,8
1481079600.0,2
1481166000.0,2
1481252400.0,2
1481338800.0,5
1481425200.0,4
1481511600.0,3
1481598000.0,6
1481684400.0,5
1481770800.0,4
1481857200.0,20
1481943600.0,15
1482030000.0,10
1482116400.0,10
1482202800.0,11
1482289200.0,16
1482375600.0,15
1482462000.0,11
1482548400.0,11
1482634800.0,13
1482721200.0,8
1482807600.0,14
1482894000.0,8
1482980400.0,9
1483066800.0,15
1483153200.0,10
1483239600.0,9
1483326000.0,11
1483412400.0,7
1483498800.0,27
1483585200.0,56
1483671600.0,53
1483758000.0,39
1483844400.0,41
1483930800.0,43
1484017200.0,43
1484103600.0,27
1484190000.0,34
1484276400.0,26
1484362800.0,26
1484449200.0,38
1484535600.0,36
1484622000.0,37
1484708400.0,35
1484794800.0,32
1484881200.0,42
1484967600.0,35
1485054000.0,38
1485140400.0,49
1485226800.0,56
1485313200.0,55
1485399600.0,57
1485486000.0,47
1485572400.0,31
1485658800.0,50
1485745200.0,31
1485831600.0,51
1485918000.0,43
1486004400.0,43
1486090800.0,67
1486177200.0,53
1486263600.0,43
1486350000.0,42
1486436400.0,53
1486522800.0,49
1486609200.0,34
1486695600.0,41
1486782000.0,36
1486868400.0,35
1486954800.0,43
1487041200.0,37
1487127600.0,30
1487214000.0,40
1487300400.0,52
1487386800.0,58
1487473200.0,52
1487559600.0,70
1487646000.0,70
1487732400.0,62
1487818800.0,86
1487905200.0,84
1487991600.0,77
1488078000.0,93
1488164400.0,91
1488250800.0,75
1488337200.0,72
1488423600.0,77
1488510000.0,69
1488596400.0,59
1488682800.0,198
1488769200.0,145
1488855600.0,101
1488942000.0,289
1489028400.0,112
1489114800.0,80
1489201200.0,78
1489287600.0,75
1489374000.0,79
1489460400.0,123
1489546800.0,91
1489633200.0,95
1489719600.0,95
1489806000.0,86
1489892400.0,94
1489978800.0,90
1490065200.0,88
1490151600.0,77
1490238000.0,89
1490324400.0,68
1490410800.0,71
1490497200.0,54
1490583600.0,38
1490670000.0,56
1490756400.0,69
1490842800.0,71
1490929200.0,66
1491015600.0,62
1491102000.0,78
1491188400.0,73
1491274800.0,88
1491361200.0,76
1491447600.0,78
1491534000.0,95
1491620400.0,84
1491706800.0,78
1491793200.0,98
1491879600.0,74
1491966000.0,93
1492052400.0,68
1492138800.0,55
1492225200.0,58
1492311600.0,62
1492398000.0,64
1492484400.0,63
1492570800.0,70
1492657200.0,77
1492743600.0,59
1492830000.0,58
1492916400.0,56
1493002800.0,53
1493089200.0,56
1493175600.0,42
1493262000.0,54
1493348400.0,49
1493434800.0,25
1493521200.0,32
1493607600.0,36
1493694000.0,76
1493780400.0,45
1493866800.0,53
1493953200.0,37
1494039600.0,38
1494126000.0,37
1494212400.0,41
1494298800.0,52
1494385200.0,42
1494471600.0,41
1494558000.0,39
1494644400.0,33
1494730800.0,30
1494817200.0,25
1494903600.0,30
1494990000.0,36
1495076400.0,44
1495162800.0,41
1495249200.0,31
1495335600.0,41
1495422000.0,41
1495508400.0,36
1495594800.0,40
1495681200.0,36
1495767600.0,222
1495854000.0,205
1495940400.0,147
1496026800.0,125
1496113200.0,108
1496199600.0,101
1496286000.0,104
1496372400.0,107
1496458800.0,90
1496545200.0,96
1496631600.0,109
1496718000.0,107
1496804400.0,96
1496890800.0,110
1496977200.0,95
1497063600.0,86
1497150000.0,89
1497236400.0,107
1497322800.0,85
1497409200.0,75
1497495600.0,90
1497582000.0,83
1497668400.0,91
1497754800.0,121
1497841200.0,110
1497927600.0,115
1498014000.0,108
1498100400.0,96
1498186800.0,124
1498273200.0,139
1498359600.0,136
1498446000.0,136
1498532400.0,128
1498618800.0,127
1498705200.0,115
1498791600.0,120
1498878000.0,131
1498964400.0,140
1499050800.0,140
1499137200.0,147
1499223600.0,141
1499310000.0,153
1499396400.0,139
1499482800.0,161
1499569200.0,136
1499655600.0,127
1499742000.0,140
1499828400.0,148
1499914800.0,168
1500001200.0,181
1500087600.0,196
1500174000.0,175
1500260400.0,162
1500346800.0,155
1500433200.0,157
1500519600.0,158
1500606000.0,136
1500692400.0,144
1500778800.0,165
1500865200.0,169
1500951600.0,169
1501038000.0,173
1501124400.0,167
1501210800.0,166
1501297200.0,138
1501383600.0,133
1501470000.0,135
1501556400.0,159
1501642800.0,159
1501729200.0,161
1501815600.0,165
1501902000.0,126
1501988400.0,140
1502074800.0,163
1502161200.0,161
1502247600.0,187
1502334000.0,184
1502420400.0,166
1502506800.0,145
1502593200.0,122
1502679600.0,131
1502766000.0,137
1502852400.0,141
1502938800.0,169
1503025200.0,176
1503111600.0,166
1503198000.0,155
1503284400.0,142
1503370800.0,165
1503457200.0,152
1503543600.0,178
1503630000.0,178
1503716400.0,177
1503802800.0,170
1503889200.0,158
1503975600.0,144
1504062000.0,141
1504148400.0,126
1504234800.0,134
1504321200.0,126
1504407600.0,142
1504494000.0,125
1504580400.0,126
1504666800.0,132
1504753200.0,153
1504839600.0,203
1504926000.0,173
1505012400.0,170
1505098800.0,139
1505185200.0,168
1505271600.0,149
1505358000.0,162
1505444400.0,159
1505530800.0,153
1505617200.0,155
1505703600.0,167
1505790000.0,170
1505876400.0,152
1505962800.0,200
1506049200.0,181
1506135600.0,162
1506222000.0,157
1506308400.0,157
1506394800.0,287
1506481200.0,240
1506567600.0,200
1506654000.0,187
1506740400.0,163
1506826800.0,166
1506913200.0,169
1506999600.0,139
1507086000.0,137
1507172400.0,117
1507258800.0,121
1507345200.0,132
1507431600.0,135
1507518000.0,145
1507604400.0,132
1507690800.0,149
1507777200.0,140
1507863600.0,118
1507950000.0,111
1508036400.0,121
1508122800.0,160
1508209200.0,152
